,a_seq,b_seq
1,3329759,1725715
2,3329760,
3,3329761,
4,3329762,
5,3329763,
6,3329764,1878823
7,3329765,
8,3329766,
9,3329767,1882346
10,3329768,1890321
11,3329769,
12,3329770,2024274
13,2004054,
14,2211782,
17,2340185,2317154
24,,2331843
26,3002465,2335936
30,,2340958
31,3003927,
32,3009808,
33,3024572,
35,,2341849
37,,2345908
38,3045032,
39,,2347624
40,3053068,2152602
41,3086697,
45,3109427,2352969
46,3109548,2353331
47,,2353332
50,3184519,
51,,2355798
54,3200684,
56,,2359987
57,3306938,2359988
58,,2360589
59,1923857,
60,1923859,
61,1923860,
64,1986934,2365277
67,2098506,
68,2098507,
69,2098509,
70,2128682,
71,2137530,
72,,2370646
74,2137561,2373874
76,2146578,2373876
77,2146579,
81,2248869,2384089
82,2248870,
83,2248871,2390823
86,,3003918
87,3006328,
89,3006330,
91,,3008334
92,,3010286
94,,3013466
96,3026668,
101,3122944,
103,3136315,540888
105,3301652,
107,342113,
108,342130,
109,444370,
110,80699,569133
112,,569135
114,1720064,572236
116,2332190,
120,,629985
124,,639321
125,3003102,
127,3060011,
128,,1719598
131,,1719666
132,,1719667
133,,1719668
134,3265095,
135,3267801,1845206
